business_id,business_name,department,address,phone_number,open_date,월요일 운영시간,월요일 휴게시간,화요일 운영시간,화요일 휴게시간,수요일 운영시간,수요일 휴게시간,목요일 운영시간,목요일 휴게시간,금요일 운영시간,금요일 휴게시간,토요일 운영시간,토요일 휴게시간,일요일 운영시간,일요일 휴게시간
005-66-22994,가경수피부과의원,피부과,"충청북도 청주시 흥덕구 가경로 8-1, 7층 (가경동, 태경빌딩)",043-238-0600,20080124,09:30~19:00,13:00~14:00,09:30~20:00,13:00~14:00,09:30~19:00,13:00~14:00,09:30~19:00,13:00~14:00,09:30~20:30,13:00~14:00,09:00~14:00,,,
005-46-61189,가경신경외과의원,신경외과,"충청북도 청주시 흥덕구 강서로 122, 403호 (강서동)",043-213-7582,20160225,09:00~18:00,13:00~14:00,09:00~18:00,13:00~14:00,09:00~18:00,13:00~14:00,09:00~18:00,13:00~14:00,09:00~18:00,13:00~14:00,09:00~14:00,,,
439-38-13448,가톨릭정형외과의원,정형외과,"충청남도 논산시 계백로 997, (취암동)",041-733-7533,20151228,08:40~18:00,12:30~13:30,08:40~18:00,12:30~13:30,08:40~18:00,12:30~13:30,08:40~18:00,12:30~13:30,08:40~18:00,12:30~13:30,08:30~13:00,,,
943-81-28312,가톨릭피부과의원,피부과,"충청남도 천안시 서북구 불당34길 18, 2층 (불당동)",041-573-9907,20020509,09:30~19:00,,09:30~19:00,,09:30~19:00,,,,09:30~19:00,,09:30~14:00,,,
037-51-71559,가톨릭피부과의원,피부과,"충청북도 청주시 서원구 사직대로 128, (사창동, 해인빌딩)",043-266-6680,20050426,09:30~19:30,13:00~14:00,09:30~19:00,13:00~14:00,09:30~19:00,13:00~14:00,,,09:30~19:30,13:00~14:00,09:30~14:00,,,
297-67-15187,강내과의원,내과,"충청남도 서산시 안견로 246, (동문동)",041-665-7401,19841030,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~13:00,,,
437-68-73865,강승모내과의원,내과,"충청북도 충주시 계명대로 20, 4~5층 (칠금동)",043-845-5534,20210715,08:30~18:00,,08:30~18:00,,08:30~13:00,,08:30~18:00,,08:30~18:00,,08:30~13:00,,,
063-87-45251,강신구내과의원,내과,"충청북도 제천시 의림대로 128, (중앙로1가)",043-646-5858,19980813,08:30~17:00,12:30~14:00,08:30~17:00,12:30~14:00,08:30~18:00,12:30~14:00,08:30~17:00,12:30~14:00,08:30~17:00,12:30~14:00,,,,
715-58-84941,강이비인후과의원,이비인후과,"충청남도 보령시 번영로 31, 2층 (대천동)",041-931-5979,20010326,08:00~18:00,,08:00~18:00,,08:00~18:00,,08:00~18:00,,08:00~18:00,,08:00~13:00,,,
008-86-23494,강중식신경외과의원,신경외과,"충청북도 제천시 의림대로 153, 2,4,5층 (의림동)",043-642-0050,20150305,09:00~18:00,,09:00~18:00,,09:00~13:00,,09:00~18:00,,09:00~18:00,,09:00~13:00,,,
081-53-66984,고려정형외과의원,정형외과,"충청남도 서산시 율지6로 5, (동문동)",041-669-0521,19971110,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~13:00,,,
241-21-66941,고려정형외과의원,정형외과,"충청남도 보령시 해태로 10, (대천동)",041-931-7373,20161011,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~16:00,,08:30~18:00,,08:30~13:00,,,
008-34-43247,고명권피부과의원,피부과,"충청남도 보령시 번영로 31, 3,4층 (대천동)",041-931-4567,19990426,08:00~18:00,,08:00~18:00,,08:00~13:00,,08:00~18:00,,08:00~18:00,,08:00~13:00,,,
095-05-62548,고석만내과의원,내과,"충청남도 보령시 번영로 13, (대천동)",041-935-3525,19870219,08:40~17:00,,08:40~17:00,,08:40~12:30,,08:40~17:00,,08:40~17:00,,08:40~12:30,,,
000-03-53855,고운빛산부인과의원,산부인과,"충청남도 천안시 서북구 백석3로 130-14, (백석동)",041-567-1188,20050308,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~14:00,,,
032-44-49836,고운산부인과의원,산부인과,"충청북도 청주시 상당구 중고개로 320, 2층 (금천동)",043-285-7373,20021012,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~13:00,,,
667-42-81621,고운신경과정신건강의학과의원,정신건강의학과,"충청남도 천안시 동남구 대흥로 271, (대흥동)",041-567-4300,19890831,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~13:00,,,
514-72-83985,고운피부과의원,피부과,"충청남도 공주시 번영1로 124, (신관동)",041-858-7071,20150602,09:30~18:30,,09:30~18:30,,09:30~18:30,,09:30~18:30,,09:30~18:30,,09:30~14:30,,,
